family,name,source,n,m,n_equalities,nnz_Q,nnz_G,protocol,formulation,note
MPC,MPC_001_LIPMWALK0,LIPMWALK0,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_002_LIPMWALK1,LIPMWALK1,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_003_LIPMWALK2,LIPMWALK2,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_004_LIPMWALK3,LIPMWALK3,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_005_LIPMWALK4,LIPMWALK4,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_006_LIPMWALK5,LIPMWALK5,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_007_LIPMWALK6,LIPMWALK6,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_008_LIPMWALK7,LIPMWALK7,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_009_LIPMWALK8,LIPMWALK8,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_010_LIPMWALK9,LIPMWALK9,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_011_LIPMWALK10,LIPMWALK10,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_012_LIPMWALK11,LIPMWALK11,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
MPC,MPC_013_LIPMWALK12,LIPMWALK12,16,32,0,256,240,,"min 0.5*x'Qx + q'x + c  s.t.  l_h <= Gx <= u_h,  l_x <= x <= u_x",
